Torch version: 1.5, 1.5.0
dataset = cityscapes
ignore_label = 255
num_classes = 19
cv split val 2 ['train/monchengladbach', 'train/strasbourg', 'train/stuttgart']
mode val found 655 images
cn num_classes 19
cv split train 2 ['val/munster', 'val/lindau', 'val/frankfurt', 'train/aachen', 'train/bochum', 'train/bremen', 'train/cologne', 'train/darmstadt', 'train/dusseldorf', 'train/erfurt', 'train/hamburg', 'train/hanover', 'train/jena', 'train/krefeld', 'train/tubingen', 'train/ulm', 'train/weimar', 'train/zurich']
mode train found 2820 images
cn num_classes 19
Loading centroid file /var/tmp/fastseg-training/assets/uniform_centroids/cityscapes_cv2_tile1024.json
Found 19 centroids
Class Uniform Percentage: 0.5
Class Uniform items per Epoch: 2820
cls 0 len 5541
cls 1 len 4897
cls 2 len 5357
cls 3 len 1268
cls 4 len 1537
cls 5 len 5398
cls 6 len 2703
cls 7 len 4610
cls 8 len 5185
cls 9 len 2407
cls 10 len 4436
cls 11 len 3530
cls 12 len 1329
cls 13 len 4864
cls 14 len 415
cls 15 len 398
cls 16 len 183
cls 17 len 551
cls 18 len 2272
Using Cross Entropy Loss
Trunk: mobilenetv3_small
Model params = 1.1M
Class Uniform Percentage: 0.5
Class Uniform items per Epoch: 2820
cls 0 len 5541
cls 1 len 4897
cls 2 len 5357
cls 3 len 1268
cls 4 len 1537
cls 5 len 5398
cls 6 len 2703
cls 7 len 4610
cls 8 len 5185
cls 9 len 2407
cls 10 len 4436
cls 11 len 3530
cls 12 len 1329
cls 13 len 4864
cls 14 len 415
cls 15 len 398
cls 16 len 183
cls 17 len 551
cls 18 len 2272
[epoch 0], [iter 1 / 176], [train main loss 6.299214], [lr 0.010000] [batchtime 0]
[epoch 0], [iter 2 / 176], [train main loss 5.822591], [lr 0.010000] [batchtime 0]
[epoch 0], [iter 3 / 176], [train main loss 5.049192], [lr 0.010000] [batchtime 0]
[epoch 0], [iter 4 / 176], [train main loss 4.094681], [lr 0.010000] [batchtime 0]
[epoch 0], [iter 5 / 176], [train main loss 3.960597], [lr 0.010000] [batchtime 0]
[epoch 0], [iter 6 / 176], [train main loss 3.632369], [lr 0.010000] [batchtime 0]
[epoch 0], [iter 7 / 176], [train main loss 3.796702], [lr 0.010000] [batchtime 0]
[epoch 0], [iter 8 / 176], [train main loss 3.673273], [lr 0.010000] [batchtime 0]
[epoch 0], [iter 9 / 176], [train main loss 3.539451], [lr 0.010000] [batchtime 0]
[epoch 0], [iter 10 / 176], [train main loss 2.914237], [lr 0.010000] [batchtime 0]
[epoch 0], [iter 11 / 176], [train main loss 2.477383], [lr 0.010000] [batchtime 0.375]
[epoch 0], [iter 12 / 176], [train main loss 2.349707], [lr 0.010000] [batchtime 0.4]
[epoch 0], [iter 13 / 176], [train main loss 2.202244], [lr 0.010000] [batchtime 0.398]
[epoch 0], [iter 14 / 176], [train main loss 2.017304], [lr 0.010000] [batchtime 0.398]
[epoch 0], [iter 15 / 176], [train main loss 1.884004], [lr 0.010000] [batchtime 0.399]
[epoch 0], [iter 16 / 176], [train main loss 1.862458], [lr 0.010000] [batchtime 0.398]
[epoch 0], [iter 17 / 176], [train main loss 1.577562], [lr 0.010000] [batchtime 0.404]
[epoch 0], [iter 18 / 176], [train main loss 1.499263], [lr 0.010000] [batchtime 0.412]
[epoch 0], [iter 19 / 176], [train main loss 1.499737], [lr 0.010000] [batchtime 0.409]
